Raw data,,,clean data,
Average price (Marked),2509.07457,,Average price (Marked),2302.600018
Average price (dicounted),1515.168757,,Average price (dicounted),15448122.8
AverageRating,2.264556118,,AverageRating,2302.600018
Most Expensive  (Marked),113999,,Most Expensive  (Marked),44900
Least Expensive (Marked),50,,Least Expensive (Marked),49
Most Expensive  (Discounted),45900,,Most Expensive  (Discounted),18787336
Least Expensive (Discounted),49,,Least Expensive (Discounted),3825
total people given rating,19267660,,total people given rating,111172721
Total Number of Brands,3194,,Total Number of Brands,2372
Total products listed,168029,,Total products listed,91349
Total products linked,341,,Total products linked,306
